,Total Operating income,Net Sales,Other Operating Income,Total Expenditure (Excl Depreciation),Raw Material Cost,Purchase of Finished goods,(Increase) / Decrease In Stocks,Employee Cost,Power Cost,Manufacturing Expenses,Selling and Distribution Expenses,Other Expenses,Operating Profit (PBDIT) excl Other Income,Other Income,Operating Profit (PBDIT),Interest,Exceptional Items,Gross Profit (PBDT),Depreciation,Profit Before Tax,Tax,Provisions and contingencies,Profit After Tax,Extraordinary Items,Prior Period Expenses,Other Adjustments,Net Profit,Equity Capital,Face Value (IN RS),Reserves,Earnings per share (EPS),Diluted Earnings per share,Operating Profit Margin (Excl OI),Gross Profit Margin,PAT Margin,Public Share Holdings (%),Pledged Promotor Holding (%),Stock Price
Jun'14,5252.41,5133.37,119.04,4327.28,3363.11,244.82,72.29,214.57,0.0,377.88,0.0,54.61,925.13,219.27,1144.4,0.11,0.0,1144.29,69.2,1075.09,335.11,0.0,739.98,0.0,0.0,0.0,739.98,289.37,10.0,0.0,25.57,25.6,0.1696,0.2098,0.1357,0.4998,0.0006,1784.217
Mar'14,4932.29,4822.66,109.63,4000.9,3205.64,289.2,-59.67,174.76,0.0,367.04,0.0,23.93,931.39,184.81,1116.2,0.17,0.0,1116.03,44.48,1071.55,307.62,0.0,763.93,0.0,0.0,0.0,763.93,289.37,10.0,0.0,26.4,26.4,0.1809,0.2167,0.1483,0.4998,0.0006,1596.457
Dec'13,5131.24,5024.76,106.48,3995.89,3335.4,234.54,-3.67,184.79,0.0,169.1,0.0,75.73,1135.35,221.84,1357.19,0.19,0.0,1357.0,46.12,1310.88,406.33,0.0,904.55,0.0,0.0,0.0,904.55,289.37,10.0,0.0,31.26,31.3,0.2102,0.2512,0.1675,0.4998,0.0006,1513.961
Sep'13,5174.89,5061.49,113.4,4042.77,3254.0,232.29,-17.72,183.38,0.0,365.38,0.0,25.44,1132.12,124.16,1256.28,0.04,0.0,1256.24,44.45,1211.79,374.63,0.0,837.16,0.0,0.0,0.0,837.16,289.37,10.0,0.0,28.93,28.9,0.2078,0.2306,0.1537,0.4998,0.0006,1586.915
Jun'13,4911.09,4808.73,102.36,4004.21,3141.43,203.07,62.16,183.65,0.0,336.05,0.0,77.85,906.88,175.6,1082.48,0.09,0.0,1082.39,44.56,1037.83,300.15,0.0,737.68,0.0,0.0,0.0,737.68,289.37,10.0,0.0,25.49,25.5,0.1757,0.2097,0.1429,0.4998,0.0006,1490.8310000000001
Mar'13,4746.48,4651.05,95.43,3909.89,3293.89,249.13,-134.19,166.63,0.0,358.75,0.0,-24.32,836.59,243.61,1080.2,0.18,0.0,1080.02,46.61,1033.41,267.64,0.0,765.77,0.0,0.0,0.0,765.77,289.37,10.0,0.0,26.46,26.5,0.1667,0.2152,0.1526,0.4998,0.001,1376.0320000000002
Dec'12,5412.71,5307.2,105.51,4400.96,3582.86,205.33,132.88,159.23,0.0,336.0,0.0,-15.34,1011.75,203.19,1214.94,0.1,0.0,1214.84,41.08,1173.76,355.02,0.0,818.74,0.0,0.0,0.0,818.74,289.37,10.0,0.0,28.29,28.3,0.1766,0.2121,0.1429,0.4998,0.0012,1539.9520000000002
Sep'12,4972.4,4817.07,155.33,4057.19,3446.23,212.64,-90.24,153.22,0.0,347.87,0.0,-12.53,915.21,166.72,1081.93,0.22,0.0,1081.71,41.04,1040.67,300.0,0.0,740.67,0.0,0.0,0.0,740.67,289.37,10.0,0.0,25.6,25.6,0.1741,0.2058,0.1409,0.4998,0.0014,1450.145
Jun'12,4865.66,4713.64,152.02,3993.96,3200.76,191.73,115.55,160.4,0.0,336.18,0.0,-10.66,871.7,181.97,1053.67,0.04,0.0,1053.63,35.24,1018.39,300.0,0.0,718.39,0.0,0.0,0.0,718.39,289.37,10.0,0.0,24.83,24.8,0.1701,0.2056,0.1402,0.4998,0.0184,1259.64
Mar'12,4651.44,4515.55,135.89,3730.89,3311.98,171.44,-170.77,119.56,0.0,319.02,0.0,-20.34,920.55,139.49,1060.04,1.77,20.27,1078.54,43.42,1035.12,263.12,0.0,772.0,0.0,0.0,0.0,772.0,289.37,10.0,0.0,26.68,26.7,0.1879,0.2201,0.1576,0.4998,0.0184,1170.388
Dec'11,4985.89,4839.95,145.94,4001.76,3354.24,203.99,3.38,138.22,0.0,318.38,0.0,-16.45,984.13,168.08,1152.21,0.02,-58.86,1093.33,32.14,1061.19,266.0,0.0,795.19,0.0,0.0,0.0,795.19,289.37,10.0,0.0,27.48,27.5,0.1882,0.2091,0.1521,0.4998,0.0016,1222.359
Sep'11,5185.36,4989.39,195.97,4209.89,3604.49,199.44,-41.53,139.24,0.0,319.49,0.0,-11.24,975.47,156.38,1131.85,20.22,-95.41,1016.22,39.42,976.8,251.0,0.0,725.8,0.0,0.0,0.0,725.8,289.37,10.0,0.0,25.08,25.1,0.1795,0.187,0.1336,0.4991,0.003,1228.05
Jun'11,4706.29,4535.38,170.91,3866.45,3174.83,176.28,114.77,143.09,0.0,258.88,0.0,-1.4,839.84,144.09,983.93,0.23,0.0,983.7,30.64,953.06,242.0,0.0,711.06,0.0,0.0,0.0,711.06,289.37,10.0,0.0,24.57,24.6,0.171,0.2002,0.1447,0.4998,0.0044,1117.486
Mar'11,4144.79,4030.26,114.53,3341.47,3029.86,122.68,-175.61,133.84,0.0,239.85,0.0,-9.15,803.32,156.15,959.47,0.05,724.55,1683.97,30.05,1653.92,253.53,0.0,1400.39,0.0,0.0,0.0,1400.39,289.37,10.0,0.0,48.39,48.4,0.1829,0.3834,0.3188,0.4991,0.0051,991.9013
Dec'10,4177.08,3980.15,196.93,3327.76,2784.49,160.18,37.93,106.6,0.0,242.7,0.0,-4.14,849.32,99.46,948.78,0.36,0.0,948.42,31.02,917.4,250.29,0.0,667.11,0.0,0.0,0.0,667.11,289.37,10.0,0.0,23.05,23.1,0.1926,0.215,0.1513,0.5027,0.0062,956.7901
Sep'10,4341.82,4180.91,160.91,3444.65,2942.74,160.45,-32.0,114.15,0.0,261.78,0.0,-2.47,897.17,83.71,980.88,0.65,0.0,980.23,29.95,950.28,268.2,0.0,682.08,0.0,0.0,0.0,682.08,289.36,10.0,0.0,23.57,23.6,0.1955,0.2136,0.1486,0.5026,0.0074,1111.729
Jun'10,3890.06,3737.29,152.77,3113.13,2556.19,125.1,86.89,126.39,0.0,219.46,0.0,-0.9,776.93,81.67,858.6,0.63,0.0,857.97,31.82,826.15,236.0,0.0,590.15,0.0,0.0,0.0,590.15,144.68,10.0,0.0,20.4,20.4,0.1897,0.2095,0.1441,0.5026,0.0085,975.6377
Mar'10,3399.45,3290.45,109.0,2622.35,2337.28,117.71,-100.63,86.19,0.0,187.68,0.0,-5.88,777.1,42.51,819.61,0.0,-45.83,773.78,34.11,739.67,207.5,0.0,532.17,0.0,-0.9,-2.62,528.65,144.68,10.0,0.0,18.39,18.3,0.2168,0.2159,0.1485,0.503,0.0098,770.3112
Dec'09,3295.55,3165.84,129.71,2572.02,2100.22,114.56,41.88,92.98,0.0,227.5,0.0,-5.12,723.53,35.13,758.66,0.02,-45.82,712.82,35.68,677.14,202.0,0.0,475.14,0.0,0.0,0.0,475.14,144.68,10.0,0.0,16.42,16.4,0.2096,0.2065,0.1376,0.5027,0.0118,636.6889
Sep'09,2887.51,2793.22,94.29,2251.0,1843.53,105.4,-36.53,107.38,0.0,234.6,0.0,-3.38,636.51,21.73,658.24,0.0,-45.83,612.41,33.58,578.83,176.0,0.0,402.83,0.0,0.0,0.0,402.83,144.68,10.0,0.0,13.92,13.9,0.2094,0.2015,0.1325,0.5027,0.0152,556.9159
Jun'09,2338.47,2258.99,79.48,1883.05,1417.2,82.14,47.68,112.91,0.0,224.41,0.0,-1.29,455.42,23.14,478.56,5.97,-24.02,448.57,33.08,415.49,122.0,0.0,293.49,0.0,0.0,0.0,293.49,144.68,10.0,0.0,10.14,20.3,0.1855,0.1828,0.1196,0.5026,0.0257,425.6759
Mar'09,1883.41,1787.54,95.87,1597.57,1240.13,53.46,1.56,94.64,0.0,209.44,0.0,-1.66,285.84,22.91,308.75,5.2,-82.9,220.65,31.29,189.36,59.11,0.0,130.25,-0.04,0.0,0.0,130.21,144.68,10.0,0.0,4.5,9.0,0.1433,0.1107,0.0653,0.5026,0.0527,292.3012
Dec'08,2103.1,2004.75,98.35,1797.26,1298.11,135.17,88.12,76.15,0.0,204.9,0.0,-5.19,305.84,37.88,343.72,9.02,-61.1,273.6,31.89,241.71,75.5,0.0,166.21,0.0,-1.94,0.0,164.27,144.68,10.0,0.0,5.74,11.4,0.1367,0.1223,0.0743,0.4955,0.0,172.0535
Sep'08,2519.18,2420.27,98.91,2175.32,1907.28,94.05,-99.84,75.46,0.0,202.86,0.0,-4.49,343.86,22.1,365.96,5.87,-61.1,298.99,33.08,265.91,81.0,0.0,184.91,0.0,0.0,0.0,184.91,144.68,10.0,0.0,6.39,12.8,0.1266,0.1101,0.0681,0.4919,0.0,148.1444
Jun'08,2304.67,2224.38,80.29,2037.89,1619.1,91.68,34.65,108.11,0.0,187.43,0.0,-3.08,266.78,28.78,295.56,0.92,0.0,294.64,33.53,261.11,86.0,0.0,175.11,0.0,0.0,0.0,175.11,144.68,10.0,0.0,6.05,12.1,0.1077,0.11900000000000001,0.0707,0.4847,0.0,188.9319
Mar'08,2074.45,1984.46,89.99,1812.88,1487.18,75.75,-38.9,86.3,0.0,208.84,0.0,-6.29,261.57,20.44,282.01,1.81,-51.18,229.02,41.39,187.63,66.96,0.0,120.67,0.12,0.0,0.0,120.79,144.68,10.0,0.0,4.17,8.7,0.1149,0.1006,0.053,0.4919,0.0,277.2769
Dec'07,2501.25,2398.6,102.65,2134.27,1795.92,74.5,-6.77,84.59,0.0,197.1,0.0,-11.07,366.98,42.95,409.93,1.93,-51.18,356.82,41.83,314.99,101.31,0.0,213.68,0.0,-0.29,0.0,213.39,13.78,10.0,0.0,77.53,15.5,0.1311,0.1275,0.0764,0.0,0.0,378.2827
Sep'07,2361.82,2244.13,117.69,1979.08,1661.18,70.37,-24.88,72.99,0.0,202.0,0.0,-2.58,382.74,25.95,408.69,1.36,0.0,407.33,49.23,358.1,119.5,0.0,238.6,0.0,0.0,0.0,238.6,13.44,10.0,0.0,88.76,17.8,0.1451,0.1544,0.0905,0.0,0.0,430.4651
Jun'07,2108.65,2108.65,0.0,1826.4,1456.62,66.7,2.7,97.74,0.0,205.74,0.0,-3.1,282.25,33.33,315.58,0.06,0.0,315.52,41.51,274.01,91.01,0.0,183.0,0.0,0.0,0.0,183.0,144.68,10.0,0.0,6.32,14.8,0.1195,0.1336,0.0775,0.0,0.0,386.4103
Mar'07,2313.55,2313.55,0.0,1987.26,1715.52,0.0,-23.66,68.82,0.0,240.7,0.0,-14.12,326.29,157.7,483.99,2.39,-12.47,469.13,45.76,423.37,115.09,0.0,308.28,0.0,0.03,0.0,308.31,101.18,10.0,0.0,15.23,30.5,0.1242,0.1786,0.1173,0.6818,0.0,386.6948
Dec'06,2568.23,2568.23,0.0,2204.61,1890.26,0.0,-4.68,75.71,0.0,249.17,0.0,-5.85,363.62,160.95,524.57,0.22,-12.32,512.03,47.21,464.82,120.0,0.0,344.82,0.0,0.37,0.0,345.19,101.18,10.0,0.0,17.04,34.1,0.1242,0.175,0.1178,0.6825,0.0,452.8593
Sep'06,2435.97,2435.97,0.0,2070.78,1762.34,0.0,6.84,72.59,0.0,234.52,0.0,-5.51,365.19,142.43,507.62,2.0,-12.6,493.02,49.17,443.85,125.0,0.0,318.85,0.0,-1.26,0.0,317.59,101.18,10.0,0.0,15.76,31.4,0.1316,0.1777,0.1149,0.7020000000000001,0.0,456.8866
Jun'06,2202.66,2202.66,0.0,1841.97,1531.99,0.0,22.4,85.58,0.0,208.57,0.0,-6.57,360.69,94.56,455.25,0.73,-10.39,444.13,48.12,396.01,130.0,0.0,266.01,0.0,0.0,0.0,266.01,101.18,10.0,0.0,13.15,26.3,0.14400000000000002,0.1773,0.1062,0.7021,0.0,451.0795
Mar'06,2165.86,2165.86,0.0,1740.89,1529.1,0.0,-42.95,68.16,0.0,192.98,0.0,-6.4,424.97,103.09,528.06,0.06,-11.85,516.15,46.75,469.4,147.61,0.0,321.79,0.0,25.18,0.0,346.97,101.18,10.0,0.0,15.9,34.3,0.1718,0.2087,0.1301,0.6792,0.0,470.3742
Dec'05,2000.94,2000.94,0.0,1642.81,1402.88,0.0,-4.99,67.55,0.0,182.27,0.0,-4.9,358.13,106.38,464.51,0.14,-10.79,453.58,49.05,404.53,124.5,0.0,280.03,0.0,-1.04,0.0,278.99,101.18,10.0,0.0,13.84,27.5,0.1567,0.1985,0.1226,0.6794,0.0,399.9368
Sep'05,1866.95,1866.95,0.0,1551.31,1282.49,0.0,15.65,65.24,0.0,196.4,0.0,-8.47,315.64,136.2,451.84,0.05,0.0,451.79,48.98,402.81,112.0,0.0,290.81,0.0,-1.45,0.0,289.36,101.18,10.0,0.0,14.37,28.6,0.1481,0.212,0.1365,0.7022,0.0,319.6609
Jun'05,1634.15,1634.15,0.0,1376.62,1159.14,0.0,-16.72,73.18,0.0,166.06,0.0,-5.04,257.53,92.78,350.31,0.09,0.0,350.22,46.22,304.0,95.0,0.0,209.0,0.0,-1.05,0.0,207.95,101.18,10.0,0.0,10.33,20.6,0.1385,0.1884,0.1124,0.7021,0.0,245.5938
